lexemeCurrentNode lineno token valueIfNumber parentNodeSymbol isLeafNode(yes/no) NodeSymbol 
---- - - - - no <program>
---- - - - <program> no <otherFunctions>
---- - - - <otherFunctions> no <function>
_addRecords 9 TK_FUNID - <function> yes - 
---- - - - <function> no <input_par>
input 9 TK_INPUT - <input_par> yes - 
parameter 9 TK_PARAMETER - <input_par> yes - 
list 9 TK_LIST - <input_par> yes - 
[ 9 TK_SQL - <input_par> yes - 
---- - - - <input_par> no <parameter_list>
---- - - - <parameter_list> no <dataType>
---- - - - <dataType> no <primitiveDatatype>
int 9 TK_INT - <primitiveDatatype> yes - 
b2 9 TK_ID - <parameter_list> yes - 
---- - - - <parameter_list> no <remaining_list>
, 9 TK_COMMA - <remaining_list> yes - 
---- - - - <remaining_list> no <parameter_list>
---- - - - <parameter_list> no <dataType>
---- - - - <dataType> no <constructedDatatype>
record 9 TK_RECORD - <constructedDatatype> yes - 
#marks 9 TK_RECORDID - <constructedDatatype> yes - 
c3b5 9 TK_ID - <parameter_list> yes - 
---- - - - <parameter_list> no <remaining_list>
, 9 TK_COMMA - <remaining_list> yes - 
---- - - - <remaining_list> no <parameter_list>
---- - - - <parameter_list> no <dataType>
---- - - - <dataType> no <constructedDatatype>
record 9 TK_RECORD - <constructedDatatype> yes - 
#marks 9 TK_RECORDID - <constructedDatatype> yes - 
c3b6 9 TK_ID - <parameter_list> yes - 
---- - - - <parameter_list> no <remaining_list>
- - - - <remaining_list> - eps
] 9 TK_SQR - <input_par> yes - 
---- - - - <function> no <output_par>
output 10 TK_OUTPUT - <output_par> yes - 
parameter 10 TK_PARAMETER - <output_par> yes - 
list 10 TK_LIST - <output_par> yes - 
[ 10 TK_SQL - <output_par> yes - 
---- - - - <output_par> no <parameter_list>
---- - - - <parameter_list> no <dataType>
---- - - - <dataType> no <constructedDatatype>
record 10 TK_RECORD - <constructedDatatype> yes - 
#marks 10 TK_RECORDID - <constructedDatatype> yes - 
b3c45 10 TK_ID - <parameter_list> yes - 
---- - - - <parameter_list> no <remaining_list>
- - - - <remaining_list> - eps
] 10 TK_SQR - <output_par> yes - 
; 10 TK_SEM - <function> yes - 
---- - - - <function> no <stmts>
---- - - - <stmts> no <typeDefinitions>
- - - - <typeDefinitions> - eps
---- - - - <stmts> no <declarations>
- - - - <declarations> - eps
---- - - - <stmts> no <otherStmts>
---- - - - <otherStmts> no <stmt>
---- - - - <stmt> no <funCallStmt>
---- - - - <funCallStmt> no <outputParameters>
[ 12 TK_SQL - <outputParameters> yes - 
---- - - - <outputParameters> no <idList>
c3b5 12 TK_ID - <idList> yes - 
---- - - - <idList> no <more_ids>
- - - - <more_ids> - eps
] 12 TK_SQR - <outputParameters> yes - 
<--- 12 TK_ASSIGNOP - <outputParameters> yes - 
call 12 TK_CALL - <funCallStmt> yes - 
_readMarks 12 TK_FUNID - <funCallStmt> yes - 
with 12 TK_WITH - <funCallStmt> yes - 
parameters 12 TK_PARAMETERS - <funCallStmt> yes - 
---- - - - <funCallStmt> no <inputParameters>
[ 12 TK_SQL - <inputParameters> yes - 
---- - - - <inputParameters> no <idList>
b2 12 TK_ID - <idList> yes - 
---- - - - <idList> no <more_ids>
- - - - <more_ids> - eps
] 12 TK_SQR - <inputParameters> yes - 
; 12 TK_SEM - <funCallStmt> yes - 
---- - - - <otherStmts> no <otherStmts>
---- - - - <otherStmts> no <stmt>
---- - - - <stmt> no <funCallStmt>
---- - - - <funCallStmt> no <outputParameters>
[ 13 TK_SQL - <outputParameters> yes - 
---- - - - <outputParameters> no <idList>
c3b6 13 TK_ID - <idList> yes - 
---- - - - <idList> no <more_ids>
- - - - <more_ids> - eps
] 13 TK_SQR - <outputParameters> yes - 
<--- 13 TK_ASSIGNOP - <outputParameters> yes - 
call 13 TK_CALL - <funCallStmt> yes - 
_readMarks 13 TK_FUNID - <funCallStmt> yes - 
with 13 TK_WITH - <funCallStmt> yes - 
parameters 13 TK_PARAMETERS - <funCallStmt> yes - 
---- - - - <funCallStmt> no <inputParameters>
[ 13 TK_SQL - <inputParameters> yes - 
---- - - - <inputParameters> no <idList>
b2 13 TK_ID - <idList> yes - 
---- - - - <idList> no <more_ids>
- - - - <more_ids> - eps
] 13 TK_SQR - <inputParameters> yes - 
; 13 TK_SEM - <funCallStmt> yes - 
---- - - - <otherStmts> no <otherStmts>
---- - - - <otherStmts> no <stmt>
---- - - - <stmt> no <assignmentStmt>
---- - - - <assignmentStmt> no <singleOrRecId>
b3c45 14 TK_ID - <singleOrRecId> yes - 
---- - - - <singleOrRecId> no <new_24>
- - - - <new_24> - eps
<--- 14 TK_ASSIGNOP - <assignmentStmt> yes - 
---- - - - <assignmentStmt> no <arithmeticExpression>
---- - - - <arithmeticExpression> no <term>
---- - - - <term> no <factor>
---- - - - <factor> no <all>
c3b5 14 TK_ID - <all> yes - 
---- - - - <all> no <temp>
- - - - <temp> - eps
---- - - - <term> no <termPrime>
- - - - <termPrime> - eps
---- - - - <arithmeticExpression> no <expPrime>
---- - - - <expPrime> no <lowPrecedenceOperators>
+ 14 TK_PLUS - <lowPrecedenceOperators> yes - 
---- - - - <expPrime> no <term>
---- - - - <term> no <factor>
---- - - - <factor> no <all>
c3b6 14 TK_ID - <all> yes - 
---- - - - <all> no <temp>
- - - - <temp> - eps
---- - - - <term> no <termPrime>
- - - - <termPrime> - eps
---- - - - <expPrime> no <expPrime>
- - - - <expPrime> - eps
; 14 TK_SEM - <assignmentStmt> yes - 
---- - - - <otherStmts> no <otherStmts>
- - - - <otherStmts> - eps
---- - - - <stmts> no <returnStmt>
return 15 TK_RETURN - <returnStmt> yes - 
---- - - - <returnStmt> no <optionalReturn>
[ 15 TK_SQL - <optionalReturn> yes - 
---- - - - <optionalReturn> no <idList>
b3c45 15 TK_ID - <idList> yes - 
---- - - - <idList> no <more_ids>
- - - - <more_ids> - eps
] 15 TK_SQR - <optionalReturn> yes - 
; 15 TK_SEM - <returnStmt> yes - 
end 16 TK_END - <function> yes - 
---- - - - <otherFunctions> no <otherFunctions>
---- - - - <otherFunctions> no <function>
_readMarks 18 TK_FUNID - <function> yes - 
---- - - - <function> no <input_par>
input 18 TK_INPUT - <input_par> yes - 
parameter 18 TK_PARAMETER - <input_par> yes - 
list 18 TK_LIST - <input_par> yes - 
[ 18 TK_SQL - <input_par> yes - 
---- - - - <input_par> no <parameter_list>
---- - - - <parameter_list> no <dataType>
---- - - - <dataType> no <primitiveDatatype>
int 18 TK_INT - <primitiveDatatype> yes - 
b7 18 TK_ID - <parameter_list> yes - 
---- - - - <parameter_list> no <remaining_list>
- - - - <remaining_list> - eps
] 18 TK_SQR - <input_par> yes - 
---- - - - <function> no <output_par>
output 19 TK_OUTPUT - <output_par> yes - 
parameter 19 TK_PARAMETER - <output_par> yes - 
list 19 TK_LIST - <output_par> yes - 
[ 19 TK_SQL - <output_par> yes - 
---- - - - <output_par> no <parameter_list>
---- - - - <parameter_list> no <dataType>
---- - - - <dataType> no <constructedDatatype>
record 19 TK_RECORD - <constructedDatatype> yes - 
#marks 19 TK_RECORDID - <constructedDatatype> yes - 
b3c2 19 TK_ID - <parameter_list> yes - 
---- - - - <parameter_list> no <remaining_list>
- - - - <remaining_list> - eps
] 19 TK_SQR - <output_par> yes - 
; 19 TK_SEM - <function> yes - 
---- - - - <function> no <stmts>
---- - - - <stmts> no <typeDefinitions>
- - - - <typeDefinitions> - eps
---- - - - <stmts> no <declarations>
- - - - <declarations> - eps
---- - - - <stmts> no <otherStmts>
---- - - - <otherStmts> no <stmt>
---- - - - <stmt> no <ioStmt>
read 20 TK_READ - <ioStmt> yes - 
( 20 TK_OP - <ioStmt> yes - 
---- - - - <ioStmt> no <singleOrRecId>
b3c2 20 TK_ID - <singleOrRecId> yes - 
---- - - - <singleOrRecId> no <new_24>
. 20 TK_DOT - <new_24> yes - 
maths 20 TK_FIELDID - <new_24> yes - 
) 20 TK_CL - <ioStmt> yes - 
; 20 TK_SEM - <ioStmt> yes - 
---- - - - <otherStmts> no <otherStmts>
---- - - - <otherStmts> no <stmt>
---- - - - <stmt> no <ioStmt>
read 21 TK_READ - <ioStmt> yes - 
( 21 TK_OP - <ioStmt> yes - 
---- - - - <ioStmt> no <singleOrRecId>
b3c2 21 TK_ID - <singleOrRecId> yes - 
---- - - - <singleOrRecId> no <new_24>
. 21 TK_DOT - <new_24> yes - 
physics 21 TK_FIELDID - <new_24> yes - 
) 21 TK_CL - <ioStmt> yes - 
; 21 TK_SEM - <ioStmt> yes - 
---- - - - <otherStmts> no <otherStmts>
---- - - - <otherStmts> no <stmt>
---- - - - <stmt> no <ioStmt>
read 22 TK_READ - <ioStmt> yes - 
( 22 TK_OP - <ioStmt> yes - 
---- - - - <ioStmt> no <singleOrRecId>
b3c2 22 TK_ID - <singleOrRecId> yes - 
---- - - - <singleOrRecId> no <new_24>
. 22 TK_DOT - <new_24> yes - 
chemistry 22 TK_FIELDID - <new_24> yes - 
) 22 TK_CL - <ioStmt> yes - 
; 22 TK_SEM - <ioStmt> yes - 
---- - - - <otherStmts> no <otherStmts>
- - - - <otherStmts> - eps
---- - - - <stmts> no <returnStmt>
return 23 TK_RETURN - <returnStmt> yes - 
---- - - - <returnStmt> no <optionalReturn>
[ 23 TK_SQL - <optionalReturn> yes - 
---- - - - <optionalReturn> no <idList>
b3c2 23 TK_ID - <idList> yes - 
---- - - - <idList> no <more_ids>
- - - - <more_ids> - eps
] 23 TK_SQR - <optionalReturn> yes - 
; 23 TK_SEM - <returnStmt> yes - 
end 24 TK_END - <function> yes - 
---- - - - <otherFunctions> no <otherFunctions>
- - - - <otherFunctions> - eps
---- - - - <program> no <mainFunction>
_main 28 TK_MAIN - <mainFunction> yes - 
---- - - - <mainFunction> no <stmts>
---- - - - <stmts> no <typeDefinitions>
---- - - - <typeDefinitions> no <typeDefinition>
record 29 TK_RECORD - <typeDefinition> yes - 
#marks 29 TK_RECORDID - <typeDefinition> yes - 
---- - - - <typeDefinition> no <fieldDefinitions>
---- - - - <fieldDefinitions> no <fieldDefinition>
type 30 TK_TYPE - <fieldDefinition> yes - 
---- - - - <fieldDefinition> no <primitiveDatatype>
real 30 TK_REAL - <primitiveDatatype> yes - 
: 30 TK_COLON - <fieldDefinition> yes - 
maths 30 TK_FIELDID - <fieldDefinition> yes - 
; 30 TK_SEM - <fieldDefinition> yes - 
---- - - - <fieldDefinitions> no <fieldDefinition>
type 31 TK_TYPE - <fieldDefinition> yes - 
---- - - - <fieldDefinition> no <primitiveDatatype>
real 31 TK_REAL - <primitiveDatatype> yes - 
: 31 TK_COLON - <fieldDefinition> yes - 
physics 31 TK_FIELDID - <fieldDefinition> yes - 
; 31 TK_SEM - <fieldDefinition> yes - 
---- - - - <fieldDefinitions> no <moreFields>
---- - - - <moreFields> no <fieldDefinition>
type 32 TK_TYPE - <fieldDefinition> yes - 
---- - - - <fieldDefinition> no <primitiveDatatype>
real 32 TK_REAL - <primitiveDatatype> yes - 
: 32 TK_COLON - <fieldDefinition> yes - 
chemistry 32 TK_FIELDID - <fieldDefinition> yes - 
; 32 TK_SEM - <fieldDefinition> yes - 
---- - - - <moreFields> no <moreFields>
- - - - <moreFields> - eps
endrecord 33 TK_ENDRECORD - <typeDefinition> yes - 
; 33 TK_SEM - <typeDefinition> yes - 
---- - - - <typeDefinitions> no <typeDefinitions>
- - - - <typeDefinitions> - eps
---- - - - <stmts> no <declarations>
---- - - - <declarations> no <declaration>
type 36 TK_TYPE - <declaration> yes - 
---- - - - <declaration> no <dataType>
---- - - - <dataType> no <constructedDatatype>
record 36 TK_RECORD - <constructedDatatype> yes - 
#marks 36 TK_RECORDID - <constructedDatatype> yes - 
: 36 TK_COLON - <declaration> yes - 
d4 36 TK_ID - <declaration> yes - 
---- - - - <declaration> no <global_or_not>
- - - - <global_or_not> - eps
; 36 TK_SEM - <declaration> yes - 
---- - - - <declarations> no <declarations>
---- - - - <declarations> no <declaration>
type 39 TK_TYPE - <declaration> yes - 
---- - - - <declaration> no <dataType>
---- - - - <dataType> no <primitiveDatatype>
int 39 TK_INT - <primitiveDatatype> yes - 
: 39 TK_COLON - <declaration> yes - 
b5 39 TK_ID - <declaration> yes - 
---- - - - <declaration> no <global_or_not>
- - - - <global_or_not> - eps
; 39 TK_SEM - <declaration> yes - 
---- - - - <declarations> no <declarations>
---- - - - <declarations> no <declaration>
type 40 TK_TYPE - <declaration> yes - 
---- - - - <declaration> no <dataType>
---- - - - <dataType> no <primitiveDatatype>
int 40 TK_INT - <primitiveDatatype> yes - 
: 40 TK_COLON - <declaration> yes - 
d5cb34567 40 TK_ID - <declaration> yes - 
---- - - - <declaration> no <global_or_not>
- - - - <global_or_not> - eps
; 40 TK_SEM - <declaration> yes - 
---- - - - <declarations> no <declarations>
---- - - - <declarations> no <declaration>
type 41 TK_TYPE - <declaration> yes - 
---- - - - <declaration> no <dataType>
---- - - - <dataType> no <primitiveDatatype>
real 41 TK_REAL - <primitiveDatatype> yes - 
: 41 TK_COLON - <declaration> yes - 
b5 41 TK_ID - <declaration> yes - 
---- - - - <declaration> no <global_or_not>
- - - - <global_or_not> - eps
; 41 TK_SEM - <declaration> yes - 
---- - - - <declarations> no <declarations>
---- - - - <declarations> no <declaration>
type 42 TK_TYPE - <declaration> yes - 
---- - - - <declaration> no <dataType>
---- - - - <dataType> no <constructedDatatype>
record 42 TK_RECORD - <constructedDatatype> yes - 
#marks 42 TK_RECORDID - <constructedDatatype> yes - 
: 42 TK_COLON - <declaration> yes - 
b5c6 42 TK_ID - <declaration> yes - 
---- - - - <declaration> no <global_or_not>
